X,Y,word1letter0,RT,Decision,
471,796,0,0.39,1,
282,796,0,0.39,1,
282,796,0,0.4,1,
282,796,0,0.44,1,
206,165,1,0.355,1,
401,966,0,0.39,1,
318,1051,1,0.37,0,
153,165,1,0.205,1,
156,796,0,0.44,1,
282,796,0,0.39,1,
318,1051,1,0.4,1,
471,796,0,0.39,1,
187,881,0,0.4,1,
282,796,0,0.285,1,
401,966,0,0.4,1,
156,796,0,0.4,1,
534,796,0,0.44,1,
212,966,0,0.44,1,
149,966,0,0.39,1,
565,881,0,0.39,1,
244,165,1,0.205,1,
282,796,0,0.285,1,
156,796,0,0.39,1,
502,881,0,0.39,1,
401,966,0,0.37,0,
374,165,1,0.205,1,
408,796,0,0.39,1,
282,796,0,0.39,1,
471,796,0,0.39,1,
318,1051,1,0.4,1,
318,1051,1,0.39,1,
124,881,0,0.39,1,
61,881,0,0.39,1,
223,165,1,0.355,1,
282,796,0,0.37,0,
408,796,0,0.39,1,
212,966,0,0.39,1,
318,1051,1,0.39,1,
282,796,0,0.44,1,
471,796,0,0.44,1,
565,881,0,0.39,1,
156,796,0,0.37,0,
156,796,0,0.4,1,
318,1051,1,0.39,1,
156,796,0,0.37,0,
318,1051,1,0.37,0,
93,796,0,0.245,1,
376,881,0,0.37,0,
376,881,0,0.4,1,
726,491,1,0.44,1,
187,881,0,0.16,1,
156,796,0,0.44,1,
156,796,0,0.39,1,
318,1051,1,0.4,1,
471,796,0,0.39,1,
187,881,0,0.4,1,
726,491,1,0.245,1,
376,881,0,0.39,1,
345,796,0,0.4,1,
401,966,0,0.16,1,
534,796,0,0.165,0,
61,881,0,0.37,0,
726,491,1,0.39,1,
376,881,0,0.39,1,
338,966,0,0.285,1,
318,1051,1,0.4,1,
282,796,0,0.4,1,
212,966,0,0.44,1,
376,881,0,0.285,1,
156,796,0,0.39,1,
276,165,0,0.205,1,
471,796,0,0.39,1,
318,1051,1,0.4,1,
124,881,0,0.39,1,
313,881,0,0.39,1,
282,796,0,0.4,1,
212,966,0,0.37,0,
124,881,0,0.44,1,
124,881,0,0.245,1,
338,966,0,0.39,1,
61,881,0,0.37,0,
313,881,0,0.39,1,
223,165,1,0.16,1,
534,796,0,0.39,1,
726,491,1,0.39,1,
124,881,0,0.4,1,
219,796,0,0.4,1,
534,796,0,0.44,1,
318,1051,1,0.44,1,
471,796,0,0.39,1,
61,881,0,0.39,1,
181,165,1,0.36,1,
157,165,1,0.205,1,
318,1051,1,0.39,1,
61,881,0,0.39,1,
726,491,1,0.37,0,
376,881,0,0.39,1,
156,796,0,0.39,1,
401,966,0,0.44,1,
265,165,1,0.145,0,
318,1051,1,0.4,1,
401,966,0,0.4,1,
282,796,0,0.4,1,
156,796,0,0.44,1,
156,796,0,0.39,1,
150,165,1,0.105,0,
146,165,1,0.235,1,
212,966,0,0.44,1,
726,491,1,0.4,1,
318,1051,1,0.2,1,
318,1051,1,0.39,1,
376,881,0,0.4,1,
187,881,0,0.16,1,
156,796,0,0.37,0,
282,796,0,0.39,1,
167,165,1,0.2,1,
318,1051,1,0.44,1,
464,966,0,0.37,0,
376,881,0,0.39,1,
187,881,0,0.16,1,
318,1051,1,0.44,1,
318,1051,1,0.4,1,
146,165,1,0.16,1,
212,966,0,0.39,1,
187,881,0,0.4,1,
345,796,0,0.37,0,
597,796,0,0.44,1,
156,796,0,0.37,0,
565,881,0,0.44,1,
